color,description,id,images,link,name,price,salePrice,size
{'WHI'},Áo thun nam thể thao Breli - BAS2122-WHI: Công nghệ Nhật Bản thoáng khí kháng khuẩn chống tia UV phù hợp vận động thể thao chơi cầu lông tennis mặc hàng ngày,21569517,"https://bizweb.dktcdn.net/100/239/277/products/aothethaonambrelibas21221whi00.jpg?v=1620963913220,https://bizweb.dktcdn.net/100/239/277/products/aothethaonambrelibas21221whi00-916761de-e318-4d1f-b92e-7dfe30f07c49.jpg?v=1620963913220,https://bizweb.dktcdn.net/100/239/277/products/aothethaonambrelibas21221whi00-cace61cd-447b-4a97-b109-a828378ec999.jpg?v=1620963913220,https://bizweb.dktcdn.net/100/239/277/products/aothethaonambrelibas21221whi00-fec65f33-4bb6-42b0-82c5-5d47dca40418.jpg?v=1620963913220",https://dunlopsports.com.vn/ao-thun-nam-the-thao-breli-bas2122-whi,Áo thun nam thể thao Breli - BAS2122-WHI,250000.0,175000.0,"{'M', 'XL', 'L'}"
{'LGR'},Áo thun nam thể thao Breli - BAS2121-LGR: Công nghệ Nhật Bản thoáng khí kháng khuẩn chống tia UV phù hợp vận động thể thao chơi cầu lông tennis mặc hàng ngày,21569518,"https://bizweb.dktcdn.net/100/239/277/products/aothethaonambrelibas21211lgr00.jpg?v=1620963914810,https://bizweb.dktcdn.net/100/239/277/products/aothethaonambrelibas21211lgr00-b45c21fb-f46b-48dd-8f38-7afb72aed0c3.jpg?v=1620963914810,https://bizweb.dktcdn.net/100/239/277/products/aothethaonambrelibas21211lgr00-cf36b997-b05d-484f-ac10-159252c0eac7.jpg?v=1620963914810",https://dunlopsports.com.vn/ao-thun-nam-the-thao-breli-bas2121-lgr,Áo thun nam thể thao Breli - BAS2121-LGR,250000.0,175000.0,"{'M', 'L'}"
{'NVB02'},"Đặc điểm nổi bật Quần Short nam thể thao Dunlop - DQTES2110-1S: Mềm, nhẹ, co giãn tốt. Kháng khuẩn, chống tia UV Thoáng khí, thoát mồ hôi",20860272,"https://bizweb.dktcdn.net/100/239/277/products/quan-short-nam-the-thao-dunlop-dqtes2110-1s-001.jpg?v=1616469513337,https://bizweb.dktcdn.net/100/239/277/products/quan-short-nam-the-thao-dunlop-dqtes2110-1s-002.jpg?v=1616469517883,https://bizweb.dktcdn.net/100/239/277/products/quan-short-nam-the-thao-dunlop-dqtes2110-1s-003.jpg?v=1616469522680,https://bizweb.dktcdn.net/100/239/277/products/quan-short-nam-the-thao-dunlop-dqtes2110-1s-004.jpg?v=1616469526823,https://bizweb.dktcdn.net/100/239/277/products/quan-short-nam-the-thao-dunlop-dqtes2110-1s-005.jpg?v=1616469533893",https://dunlopsports.com.vn/quan-short-nam-the-thao-dunlop-dqtes2110-1s,Quần Short nam thể thao Dunlop - DQTES2110-1S,430000.0,408500.0,"{'XXL', 'S'}"
{'OLU'},"Giới thiệu thương hiệu BRELI: Thời trang thể thao BRELI SPORT chuyên sản xuất và phân phối Quần áo thể thao cao cấp phục vụ cho các dòng thể thao khác nhau như: GYM, YOGA, CẦU LÔNG, TENNIS, GOLF, RUNNING, BÓNG ĐÁ, BÓNG CHUYỀN, BÓNG RỔ… Toàn bộ sản phẩm của BRELI được sản xuất trên dây chuyền công nghệ Nhật Bản, sử dụng",21569502,"https://bizweb.dktcdn.net/100/239/277/products/quanshortnamthethaobrelibqs203-08b2cbea-c3e4-434c-a1f0-4bf1173f884e.jpg?v=1620963898653,https://bizweb.dktcdn.net/100/239/277/products/quanshortnamthethaobrelibqs203-427ea9c0-3bfc-44f6-a803-3246848ea73d.jpg?v=1620963898653,https://bizweb.dktcdn.net/100/239/277/products/quanshortnamthethaobrelibqs203-7848f879-1221-4de3-9d91-17faa338110e.jpg?v=1620963898653",https://dunlopsports.com.vn/quan-short-nam-the-thao-breli-bqs2032-1m-olu,Quần Short nam thể thao Breli - BQS2032-1M-OLU,420000.0,294000.0,"{'M', 'L'}"
{'MS'},Quần Short nam thể thao Breli - BQS2030-1M: Công nghệ Nhật Bản thoáng khí kháng khuẩn chống tia UV phù hợp vận động thể thao chơi cầu lông tennis mặc hàng ngày,21569504,"https://bizweb.dktcdn.net/100/239/277/products/quanshortnamthethaobrelibqs203-0cab85e8-4621-4b5d-8253-fe00f8061448.jpg?v=1620963901080,https://bizweb.dktcdn.net/100/239/277/products/quanshortnamthethaobrelibqs203-446d08a7-a4de-430b-81f4-635479b9b9f3.jpg?v=1620963901080,https://bizweb.dktcdn.net/100/239/277/products/quanshortnamthethaobrelibqs203-9d37f203-7e7e-4cdb-b2d7-713bcd2c41f1.jpg?v=1620963901080",https://dunlopsports.com.vn/quan-short-nam-the-thao-breli-bqs2030-1m-ms,Quần Short nam thể thao Breli - BQS2030-1M-MS,410000.0,287000.0,{'M'}
{'BUD03'},Áo thể thao nam Dunlop - DASLS21014-1C: Thương hiệu từ Anh Quốc - Sản xuất tại VN Vải được cung cấp độc quyền bởi tập đoàn dệt may hàng đầu Nhật Bản - Itochu,21171114,"https://bizweb.dktcdn.net/100/239/277/products/ao-the-thao-nam-dunlop-dasls21014-1c-001.jpg?v=1617679295087,https://bizweb.dktcdn.net/100/239/277/products/ao-the-thao-nam-dunlop-dasls21014-1c-002.jpg?v=1617679298253,https://bizweb.dktcdn.net/100/239/277/products/ao-the-thao-nam-dunlop-dasls21014-1c-003.jpg?v=1617679301487,https://bizweb.dktcdn.net/100/239/277/products/ao-the-thao-nam-dunlop-dasls21014-1c-004.jpg?v=1617679304610,https://bizweb.dktcdn.net/100/239/277/products/ao-the-thao-nam-dunlop-dasls21014-1c-005.jpg?v=1617679307390",https://dunlopsports.com.vn/ao-the-thao-nam-dunlop-dasls21014-1c,Áo thể thao nam Dunlop - DASLS21014-1C,350000.0,332500.0,{'S'}
{'MS'},Quần Short nam thể thao Breli - BQS2033: Công nghệ Nhật Bản thoáng khí kháng khuẩn chống tia UV phù hợp vận động thể thao chơi cầu lông tennis mặc hàng ngày,21569501,"https://bizweb.dktcdn.net/100/239/277/products/quanshortnamthethaobrelibqs203-d3267e6d-f8fe-47ce-a46b-90616afb5da6.jpg?v=1620963897417,https://bizweb.dktcdn.net/100/239/277/products/quanshortnamthethaobrelibqs203-55afdb42-b81b-4dc0-ba4d-d49cdcbbcfe0.jpg?v=1620963897417,https://bizweb.dktcdn.net/100/239/277/products/quanshortnamthethaobrelibqs203-304e135f-1ab0-4d40-a688-5a3b3a35dd4c.jpg?v=1620963897417",https://dunlopsports.com.vn/quan-short-nam-the-thao-breli-bqs2033-1m-ms,Quần Short nam thể thao Breli - BQS2033-1M-MS,410000.0,287000.0,{'L'}
{'BJB'},Quần Short nam thể thao Breli - BQS2025-1M: Công nghệ Nhật Bản thoáng khí kháng khuẩn chống tia UV phù hợp vận động thể thao chơi cầu lông tennis mặc hàng ngày,21569514,"https://bizweb.dktcdn.net/100/239/277/products/quanshortnamthethaobrelibqs202-a1b72e10-f872-4200-b2a5-705d79b04eda.jpg?v=1620963908427,https://bizweb.dktcdn.net/100/239/277/products/quanshortnamthethaobrelibqs202-5a8bdb25-28ce-4dbe-8baf-dea3eae7ce9d.jpg?v=1620963908427,https://bizweb.dktcdn.net/100/239/277/products/quanshortnamthethaobrelibqs202-61533fee-68e7-4b99-86a3-b8187e5d8165.jpg?v=1620963908427",https://dunlopsports.com.vn/quan-short-nam-the-thao-breli-bqs2025-1m-bjb,Quần Short nam thể thao Breli - BQS2025-1M-BJB,360000.0,252000.0,{'M'}
{'LBL'},Áo thun nam thể thao Breli - BAS2120-LBL: Công nghệ Nhật Bản thoáng khí kháng khuẩn chống tia UV phù hợp vận động thể thao chơi cầu lông tennis mặc hàng ngày,21569520,"https://bizweb.dktcdn.net/100/239/277/products/aothethaonambrelibas21201lbl00.jpg?v=1620963916013,https://bizweb.dktcdn.net/100/239/277/products/aothethaonambrelibas21201lbl00-41c7b72c-b256-4373-a3cf-46e588d7624f.jpg?v=1620963916013,https://bizweb.dktcdn.net/100/239/277/products/aothethaonambrelibas21201lbl00-51f10234-b20b-4097-83a0-c97fe498206f.jpg?v=1620963916013",https://dunlopsports.com.vn/ao-thun-nam-the-thao-breli-bas2120-lbl,Áo thun nam thể thao Breli - BAS2120-LBL,250000.0,175000.0,{'L'}
{'GYML03'},"Đặc điểm nổi bật Quần Short nam thể thao Dunlop - DQTES2109-1S: Mềm, nhẹ, co giãn tốt. Kháng khuẩn, chống tia UV Thoáng khí, thoát mồ hôi",20860270,"https://bizweb.dktcdn.net/100/239/277/products/quan-short-nam-the-thao-dunlop-dqtes2109-1s-001.jpg?v=1616469235517,https://bizweb.dktcdn.net/100/239/277/products/quan-short-nam-the-thao-dunlop-dqtes2109-1s-002.jpg?v=1616469239630,https://bizweb.dktcdn.net/100/239/277/products/quan-short-nam-the-thao-dunlop-dqtes2109-1s-003.jpg?v=1616469245050,https://bizweb.dktcdn.net/100/239/277/products/quan-short-nam-the-thao-dunlop-dqtes2109-1s-004.jpg?v=1616469248913,https://bizweb.dktcdn.net/100/239/277/products/quan-short-nam-the-thao-dunlop-dqtes2109-1s-005.jpg?v=1616469252603",https://dunlopsports.com.vn/quan-short-nam-the-thao-dunlop-dqtes2109-1s,Quần Short nam thể thao Dunlop - DQTES2109-1S,430000.0,408500.0,"{'XXL', 'S'}"
