color,description,id,images,link,name,price,salePrice,size
{'GY'},Áo Tennis Nữ Dunlop - DATES9050-2C-GY: Thương hiệu từ Anh Quốc - Sản xuất tại VN Vải được cung cấp độc quyền bởi tập đoàn dệt may hàng đầu Nhật Bản - Itochu...,17020367,"https://bizweb.dktcdn.net/100/239/277/products/ao-tennis-nu-dunlop-dates9050-2c-gy-01.jpg?v=1583120423757,https://bizweb.dktcdn.net/100/239/277/products/ao-tennis-nu-dunlop-dates9050-2c-gy-02.jpg?v=1583120427197,https://bizweb.dktcdn.net/100/239/277/products/ao-tennis-nu-dunlop-dates9050-2c-gy-03.jpg?v=1583120430377,https://bizweb.dktcdn.net/100/239/277/products/ao-tennis-nu-dunlop-dates9050-2c-gy-04.jpg?v=1583120433780,https://bizweb.dktcdn.net/100/239/277/products/ao-tennis-nu-dunlop-dates9050-2c-gy-05.jpg?v=1583120437977",https://dunlopsports.com.vn/ao-tennis-nu-dunlop-dates9050-2c-gy,Áo Tennis Nữ Dunlop - DATES9050-2C-GY (Xám),570000.0,513000.0,"{'M', 'S', 'XL', 'L', 'XXXL', 'XXL'}"
{'SBU1'},Áo Tennis Nữ Dunlop - DATES9050-2C-SBU1: Thương hiệu từ Anh Quốc - Sản xuất tại VN Vải được cung cấp độc quyền bởi tập đoàn dệt may hàng đầu Nhật Bản - Itochu..,17020368,"https://bizweb.dktcdn.net/100/239/277/products/ao-tennis-nu-dunlop-dates9050-2c-sbu1-01.jpg?v=1583120078090,https://bizweb.dktcdn.net/100/239/277/products/ao-tennis-nu-dunlop-dates9050-2c-sbu1-02.jpg?v=1583120081830,https://bizweb.dktcdn.net/100/239/277/products/ao-tennis-nu-dunlop-dates9050-2c-sbu1-03.jpg?v=1583120085717,https://bizweb.dktcdn.net/100/239/277/products/ao-tennis-nu-dunlop-dates9050-2c-sbu1-04.jpg?v=1583120089697,https://bizweb.dktcdn.net/100/239/277/products/ao-tennis-nu-dunlop-dates9050-2c-sbu1-05.jpg?v=1583120093670",https://dunlopsports.com.vn/ao-tennis-nu-dunlop-dates9050-2c-sbu1,Áo Tennis Nữ Dunlop - DATES9050-2C-SBU1 (Xanh Coban),570000.0,513000.0,"{'M', 'S', 'XL', 'L', 'XXXL', 'XXL'}"
{'NV'},Quần Gym Nữ Dunlop - DQGYS9141-2D-NV: Thương hiệu từ Anh Quốc - Sản xuất tại VN Vải được cung cấp độc quyền bởi tập đoàn dệt may hàng đầu Nhật Bản - Itochu...,16964615,"https://bizweb.dktcdn.net/100/239/277/products/quan-gym-nu-dunlop-dqgys9141-2d-nv-01.jpg?v=1582444828607,https://bizweb.dktcdn.net/100/239/277/products/quan-gym-nu-dunlop-dqgys9141-2d-nv-02.jpg?v=1582444832207,https://bizweb.dktcdn.net/100/239/277/products/quan-gym-nu-dunlop-dqgys9141-2d-nv-03.jpg?v=1582444835680",https://dunlopsports.com.vn/quan-gym-nu-dunlop-dqgys9141-2d-nv,Quần Gym Nữ Dunlop - DQGYS9141-2D-NV (Xanh Navy),300000.0,255000.0,"{'M', 'S', 'XL', 'L', 'XXL'}"
{'SBU1'},Áo cầu lông nữ Dunlop - DABAS9102-2-SBU1: Thương hiệu từ Anh Quốc - Sản xuất tại VN Vải được cung cấp độc quyền bởi tập đoàn dệt may hàng đầu Nhật Bản - Itochu,17020366,"https://bizweb.dktcdn.net/100/239/277/products/ao-cau-long-nu-dunlop-dabas9102-2-sbu1-01.jpg?v=1583123668780,https://bizweb.dktcdn.net/100/239/277/products/ao-cau-long-nu-dunlop-dabas9102-2-sbu1-02.jpg?v=1583123675653,https://bizweb.dktcdn.net/100/239/277/products/ao-cau-long-nu-dunlop-dabas9102-2-sbu1-03.jpg?v=1583123611963,https://bizweb.dktcdn.net/100/239/277/products/ao-cau-long-nu-dunlop-dabas9102-2-sbu1-04.jpg?v=1583123612320,https://bizweb.dktcdn.net/100/239/277/products/ao-cau-long-nu-dunlop-dabas9102-2-sbu1-05.jpg?v=1583123612693",https://dunlopsports.com.vn/ao-cau-long-nu-dunlop-dabas9102-2-sbu1,Áo cầu lông nữ Dunlop - DABAS9102-2-SBU1 (Xanh Coban),260000.0,234000.0,"{'M', 'XL', 'L', 'XXXL', 'XXL'}"
{'BK'},Quần Gym Nữ Dunlop - DQGYS9130-2D-BK: Thương hiệu từ Anh Quốc - Sản xuất tại VN Vải được cung cấp độc quyền bởi tập đoàn dệt may hàng đầu Nhật Bản - Itochu...,16964651,"https://bizweb.dktcdn.net/100/239/277/products/quan-gym-nu-dunlop-dqgys9130-2d-bk-01.jpg?v=1582445174397,https://bizweb.dktcdn.net/100/239/277/products/quan-gym-nu-dunlop-dqgys9130-2d-bk-02.jpg?v=1582445178820,https://bizweb.dktcdn.net/100/239/277/products/quan-gym-nu-dunlop-dqgys9130-2d-bk-03.jpg?v=1582445183660",https://dunlopsports.com.vn/quan-gym-nu-dunlop-dqgys9130-2d-bk,Quần Gym Nữ Dunlop - DQGYS9130-2D-BK (Đen),450000.0,382500.0,"{'M', 'S', 'XL', 'L', 'XXL'}"
{'NV'},Quần Gym Nữ Dunlop - DQGYS9142-2S-NV: Thương hiệu từ Anh Quốc - Sản xuất tại VN Vải được cung cấp độc quyền bởi tập đoàn dệt may hàng đầu Nhật Bản - Itochu...,16964602,"https://bizweb.dktcdn.net/100/239/277/products/quan-gym-nu-dunlop-dqgys9142-2s-nv-01.jpg?v=1582374786363,https://bizweb.dktcdn.net/100/239/277/products/quan-gym-nu-dunlop-dqgys9142-2s-nv-02.jpg?v=1582374790033,https://bizweb.dktcdn.net/100/239/277/products/quan-gym-nu-dunlop-dqgys9142-2s-nv-03.jpg?v=1582374793297",https://dunlopsports.com.vn/quan-gym-nu-dunlop-dqgys9142-2s-nv,Quần Gym Nữ Dunlop - DQGYS9142-2S-NV (Xanh Navy),380000.0,323000.0,"{'M', 'S', 'XL', 'L', 'XXL'}"
{'WT'},Áo cầu lông nữ Dunlop - DABAS9102-2-WT: Thương hiệu từ Anh Quốc - Sản xuất tại VN Vải được cung cấp độc quyền bởi tập đoàn dệt may hàng đầu Nhật Bản - Itochu..,17020364,"https://bizweb.dktcdn.net/100/239/277/products/ao-cau-long-nu-dunlop-dabas9102-2-wt-01.jpg?v=1583123477803,https://bizweb.dktcdn.net/100/239/277/products/ao-cau-long-nu-dunlop-dabas9102-2-wt-02.jpg?v=1583123481583,https://bizweb.dktcdn.net/100/239/277/products/ao-cau-long-nu-dunlop-dabas9102-2-wt-03.jpg?v=1583123485673,https://bizweb.dktcdn.net/100/239/277/products/ao-cau-long-nu-dunlop-dabas9102-2-wt-04.jpg?v=1583123489787,https://bizweb.dktcdn.net/100/239/277/products/ao-cau-long-nu-dunlop-dabas9102-2-wt-05.jpg?v=1583123493133",https://dunlopsports.com.vn/ao-cau-long-nu-dunlop-dabas9102-2-wt,Áo cầu lông nữ Dunlop - DABAS9102-2-WT (Trắng),260000.0,234000.0,"{'M', 'XL', 'L', 'XXXL', 'XXL'}"
{'BK'},Quần Gym Nữ Dunlop - DQGYS9129-2S-BK: Thương hiệu từ Anh Quốc - Sản xuất tại VN Vải được cung cấp độc quyền bởi tập đoàn dệt may hàng đầu Nhật Bản - Itochu...,16964630,"https://bizweb.dktcdn.net/100/239/277/products/quan-gym-nu-dunlop-dqgys9129-2s-bk-01.jpg?v=1582445738243,https://bizweb.dktcdn.net/100/239/277/products/quan-gym-nu-dunlop-dqgys9129-2s-bk-02.jpg?v=1582445741837,https://bizweb.dktcdn.net/100/239/277/products/quan-gym-nu-dunlop-dqgys9129-2s-bk-03.jpg?v=1582445745610",https://dunlopsports.com.vn/quan-gym-nu-dunlop-dqgys9129-2s-bk,Quần Gym Nữ Dunlop - DQGYS9129-2S-BK (Đen),350000.0,297500.0,"{'M', 'S', 'XL', 'L', 'XXL'}"
{'NV'},Quần Gym Nữ Dunlop - DQGYS9130-2D-NV: Thương hiệu từ Anh Quốc - Sản xuất tại VN Vải được cung cấp độc quyền bởi tập đoàn dệt may hàng đầu Nhật Bản - Itochu...,16964642,"https://bizweb.dktcdn.net/100/239/277/products/quan-gym-nu-dunlop-dqgys9130-2d-nv-01.jpg?v=1582445266277,https://bizweb.dktcdn.net/100/239/277/products/quan-gym-nu-dunlop-dqgys9130-2d-nv-02.jpg?v=1582445272540,https://bizweb.dktcdn.net/100/239/277/products/quan-gym-nu-dunlop-dqgys9130-2d-nv-03.jpg?v=1582445276307",https://dunlopsports.com.vn/quan-gym-nu-dunlop-dqgys9130-2d-nv,Quần Gym Nữ Dunlop - DQGYS9130-2D-NV (Xanh Navy),450000.0,382500.0,"{'M', 'S', 'XL', 'L', 'XXL'}"
{'NV'},Áo cầu lông Nữ Dunlop - DABAS9112-2-NV: Thương hiệu từ Anh Quốc - Sản xuất tại VN Vải được cung cấp độc quyền bởi tập đoàn dệt may hàng đầu Nhật Bản - Itochu..,17184380,"https://bizweb.dktcdn.net/100/239/277/products/ao-cau-long-nu-dunlop-dabas9112-2-nv-01.jpg?v=1591848605683,https://bizweb.dktcdn.net/100/239/277/products/ao-cau-long-nu-dunlop-dabas9112-2-nv-02.jpg?v=1591848609107,https://bizweb.dktcdn.net/100/239/277/products/ao-cau-long-nu-dunlop-dabas9112-2-nv-03.jpg?v=1591848612097",https://dunlopsports.com.vn/ao-cau-long-nu-dunlop-dabas9112-2-nv,Áo cầu lông Nữ Dunlop - DABAS9112-2-NV (Xanh Navy),260000.0,234000.0,"{'M', 'S', '3XL', 'XL', 'L', 'XXL'}"
